config,step,session_id,turns,reasoning_nonempty,content_nonempty,reasoning_exact,reasoning_near80,reasoning_near60,content_exact,content_near80,content_near60
8 GPU,0,ca8caf1a-4b69-4f7c-8b79-f26d209d1453,18,18,9,1,1,1,1,1,1
8 GPU,0,28819099-01b9-47ca-ba23-dbd3cd3b1fdb,4,4,3,1,1,1,1,1,1
8 GPU,0,940e3cdd-34d5-433b-88be-93ee0ec5415f,1,1,1,1,1,1,1,1,1
8 GPU,0,08ef39c3-acce-48d4-8e7d-95163fcc10f8,18,18,6,1,1,1,1,1,1
8 GPU,0,f59eb120-4cb4-4b0c-a9cc-ca6639dda3ec,14,14,4,1,1,1,1,1,1
8 GPU,0,aa315440-789a-476d-b0a2-d38d3ef1bfd1,42,42,32,1,1,1,1,1,1
8 GPU,0,cc8106f4-f7ad-495f-8a74-12e407203c22,118,118,47,1,1,1,1,1,1
8 GPU,0,566257b7-ae4b-499c-b65f-3f244427f927,21,21,11,1,1,1,1,1,1
8 GPU,0,722f7703-48cd-4dd3-9546-07e96655fefd,14,14,5,1,1,1,1,1,1
8 GPU,0,c9dca10c-96ec-44ba-a98b-118c865ffcef,24,24,6,1,1,1,1,1,1
8 GPU,0,00954432-103f-424f-98ea-3bbccf9b4a2d,4,4,3,1,1,1,1,1,1
8 GPU,0,8037bd70-14d6-4284-98de-cdd217580b7f,51,51,14,1,1,1,1,1,1
8 GPU,0,9b7cfc90-e0b8-40f9-bfb3-eb688790edd0,4,4,4,1,1,1,1,1,1
8 GPU,0,d0d78194-89b1-4953-bb38-6f6f7b652e74,4,4,4,1,1,1,1,1,1
8 GPU,0,c60be7bd-5e9f-4431-9757-4cf2f0ead7a4,28,28,6,1,1,1,1,1,1
8 GPU,0,312c794e-e10e-4fd7-89b3-91fb52e8c110,4,4,4,1,1,1,1,1,1
8 GPU,0,14fe6734-1227-4e10-8b1b-c740e9c8b7ca,48,48,13,1,1,1,1,1,1
8 GPU,0,236d6333-2f92-492d-b848-a55ae493fd97,34,34,9,1,1,1,1,1,1
8 GPU,0,ddc1eb65-b293-4e52-bbce-697dec3e9e0f,22,22,3,1,1,1,1,1,1
8 GPU,0,1e5ca8d0-f87f-46d4-b410-7c6e17ade1d9,47,47,17,1,1,1,1,1,1
8 GPU,0,34505e1c-ca71-47d5-8933-f2362b7cd638,43,43,9,1,1,1,1,1,1
8 GPU,0,b01f86b8-8110-4b95-b08b-860788488877,59,59,38,1,1,1,1,1,1
8 GPU,0,31625ac0-2e10-4487-97e4-843113a06f3a,132,132,62,1,1,1,1,1,1
8 GPU,0,bbec8b5d-5716-4ae0-a41e-c3887915677c,11,11,4,1,1,1,1,1,1
8 GPU,0,23c5b2f9-5fb3-49cc-9ca0-91a1181596d8,2,2,2,1,1,1,1,1,1
8 GPU,0,52c92ffc-a819-4926-8d0e-64fce4e5f238,15,15,7,1,1,1,1,1,1
8 GPU,0,e52beea4-8024-4059-96ed-ba19d565ed35,21,21,7,1,1,1,1,1,1
8 GPU,0,fad350d0-c8e2-4a25-afaa-5ff40f7b517e,24,24,5,1,1,1,1,1,1
8 GPU,0,18f637c7-5a9f-48a2-b240-b9046bc8be48,17,17,6,1,1,1,1,1,1
8 GPU,0,747677fa-3209-4c56-898d-d26d3ad6bb05,43,43,6,1,1,1,1,1,1
8 GPU,0,d9ec7d38-b6b9-490f-9c98-46e4d0bdb36a,4,4,3,1,1,1,1,1,1
8 GPU,0,410c2e53-0e16-400d-84fa-55adb974036a,22,22,9,1,1,1,1,1,1
8 GPU,0,8292959d-e0a6-4ae5-aa2d-5f0ed6991cb1,6,6,4,1,1,1,1,1,1
8 GPU,0,e9a162c1-5606-4b07-8679-612c71b594de,20,20,7,1,1,1,1,1,1
8 GPU,0,5f22f251-6ace-48e5-8eaa-b03f9e024d9c,60,60,31,1,1,1,1,1,1
8 GPU,0,e9577242-0c7e-4f50-8e16-cb00cc10ae3f,47,46,25,1,1,1,1,1,1
8 GPU,0,d746cf13-4144-4269-bc90-1791a81a6828,47,47,18,1,1,1,1,1,1
8 GPU,0,31370f5d-e2a4-47b4-9207-7eaf3e5aa2d3,30,30,12,1,1,1,1,1,1
8 GPU,0,1cbf3ae1-8db5-494b-8460-e7c203616d33,1,1,1,1,1,1,1,1,1
8 GPU,0,10c43e81-d051-480f-a71b-4e2630f59e2a,33,33,5,1,1,1,1,1,1
8 GPU,0,454c0be9-4f41-402d-91f5-4978922ba982,26,26,13,1,1,1,1,1,1
8 GPU,0,b69bfb95-fda0-4fad-94ee-556c0d5d39e6,42,42,13,1,1,1,1,1,1
8 GPU,0,698ebef8-190c-4fb2-8c76-8cd50cb22074,35,35,6,1,1,1,1,1,1
8 GPU,0,c1d0e444-f114-46a7-a0dd-3a11271de931,6,6,2,1,1,1,1,1,1
8 GPU,0,a1a5c42e-46c6-4995-a633-e371813be455,22,22,7,1,1,1,1,1,1
8 GPU,0,3c2c6b38-2243-43a7-84fe-3bbabe4d3e5f,6,6,2,1,1,1,1,1,1
8 GPU,0,f4b963a0-513c-4ee8-af9d-906291a02ffa,8,8,3,1,1,1,1,1,1
8 GPU,0,d6119708-cd8f-40b8-ba65-1f9c90200690,5,5,2,1,1,1,1,1,1
8 GPU,0,fb351605-106e-4409-9e23-53abf062c003,3,3,3,1,1,1,1,1,1
8 GPU,0,2d1ba03d-76a3-426a-bae9-1466374182ea,2,2,2,1,1,1,1,1,1
8 GPU,0,a07e93aa-19c4-471f-abfb-088b3c1a865a,33,33,8,1,1,1,1,1,1
8 GPU,0,5c551139-69c6-43cb-90d1-a79dd304063a,81,81,2,1,1,1,1,1,1
8 GPU,0,99fc4b56-bf44-4dab-8cd5-549cec9a0fb4,9,9,5,1,1,1,1,1,1
8 GPU,0,7675bf2c-473d-44bd-aa3a-60b05d402ac3,13,13,5,1,1,1,1,1,1
