config,step,episodes,turns,reasoning_exact_ge3,reasoning_exact_ge4,reasoning_exact_ge5,reasoning_near80_ge3,reasoning_near80_ge4,reasoning_near80_ge5,reasoning_near60_ge3,reasoning_near60_ge4,reasoning_near60_ge5,content_exact_ge3,content_exact_ge4,content_exact_ge5,content_near80_ge3,content_near80_ge4,content_near80_ge5,content_near60_ge3,content_near60_ge4,content_near60_ge5
8 GPU,0,128,3472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,1,128,2768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,2,128,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,3,128,2423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,4,128,2132,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
8 GPU,5,128,2950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,6,128,3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,7,128,2481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,8,128,2187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,9,128,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,10,128,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,11,128,2924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,12,128,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,13,128,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,14,128,2458,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
8 GPU,15,128,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,16,128,1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,17,128,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,18,128,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,19,128,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,20,128,2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 GPU,21,128,2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,0,128,2752,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16 GPU,1,128,3219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,2,128,2253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,3,128,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,4,128,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,5,128,3209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,6,128,4280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,7,128,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,8,128,3431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,9,128,3798,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16 GPU,10,128,4196,1,0,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0
16 GPU,11,128,2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,12,128,2517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,13,128,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,14,128,2213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16 GPU,15,128,3042,3,3,2,3,3,2,3,3,2,0,0,0,0,0,0,0,0,0
16 GPU,16,128,2408,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0
16 GPU,17,128,3443,2,1,1,2,1,1,3,1,1,0,0,0,1,0,0,1,1,1
16 GPU,18,128,2569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 GPU,19,128,3975,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0
16 GPU,20,128,2305,3,3,2,3,3,2,3,3,2,0,0,0,1,0,0,3,0,0
16 GPU,21,128,2766,3,3,3,4,3,3,5,4,3,0,0,0,0,0,0,0,0,0
