config,step,episodes,assistant_turns,exact_ge3,names_ge3,exact_ge4,names_ge4,exact_ge5,names_ge5
8 GPU,0,128,3472,1,82,0,69,0,58
8 GPU,1,128,2768,0,82,0,73,0,60
8 GPU,2,128,2480,2,79,0,55,0,39
8 GPU,3,128,2423,1,73,0,53,0,43
8 GPU,4,128,2132,2,78,1,46,1,30
8 GPU,5,128,2950,0,75,0,67,0,57
8 GPU,6,128,3221,0,74,0,68,0,60
8 GPU,7,128,2481,0,70,0,54,0,39
8 GPU,8,128,2187,1,63,0,39,0,29
8 GPU,9,128,2447,0,72,0,51,0,31
8 GPU,10,128,2988,1,70,0,56,0,46
8 GPU,11,128,2924,0,77,0,64,0,56
8 GPU,12,128,2454,0,68,0,59,0,52
8 GPU,13,128,2672,2,72,1,66,0,58
8 GPU,14,128,2458,1,66,1,54,1,49
8 GPU,15,128,1568,2,52,1,27,1,14
8 GPU,16,128,1608,2,41,0,25,0,17
8 GPU,17,128,1979,1,60,0,39,0,26
8 GPU,18,128,1699,0,47,0,32,0,18
8 GPU,19,128,2298,0,67,0,46,0,34
8 GPU,20,128,2069,1,60,1,45,1,39
8 GPU,21,128,2348,0,70,0,57,0,48
16 GPU,0,128,2752,2,68,1,56,1,42
16 GPU,1,128,3219,3,83,2,71,2,64
16 GPU,2,128,2253,0,69,0,50,0,43
16 GPU,3,128,2669,0,58,0,47,0,42
16 GPU,4,128,1872,0,49,0,34,0,24
16 GPU,5,128,3209,0,71,0,65,0,63
16 GPU,6,128,4280,0,91,0,90,0,82
16 GPU,7,128,2978,1,72,1,55,0,44
16 GPU,8,128,3431,1,90,0,74,0,56
16 GPU,9,128,3798,4,99,2,76,2,62
16 GPU,10,128,4196,5,108,4,90,3,68
16 GPU,11,128,2581,4,60,2,53,2,48
16 GPU,12,128,2517,1,53,1,51,0,51
16 GPU,13,128,2088,2,50,1,45,1,41
16 GPU,14,128,2213,6,56,2,52,1,40
16 GPU,15,128,3042,5,80,4,70,3,63
16 GPU,16,128,2408,6,65,2,57,1,53
16 GPU,17,128,3443,12,85,5,77,5,72
16 GPU,18,128,2569,13,71,6,60,3,53
16 GPU,19,128,3975,23,89,13,86,10,78
16 GPU,20,128,2305,16,61,7,54,5,47
